cuotas,monto,edad,ingresos,empresa,comerciante,comercio,sucursal,plan,sexo,ocupacion,calificacion,nacionalidad,localidad,mora
0.06,0.0159,0.53,0.0628,0.1,0.0157,0.0335,0.06,0.2044,0.147,0.0133,0.0016,0.3466,0.1777,True
0.12,0.0471,0.47,0.0212,0.1,0.0876,0.3663,0.24,0.2168,0.147,0.0133,0.0016,0.3466,0.5306,True
0.12,0.0036,0.54,0.2778,0.1,0.11,0.4148,0.35,0.2251,0.147,0.0133,0.0016,0.3466,0.0209,True
0.09,0.0027,0.22,0.3667,0.1,0.0157,0.0378,0.06,0.2044,0.154,0.0133,0.0016,0.3466,0.2266,True
0.09,0.005,0.52,0.2,0.1,0.0157,0.0334,0.01,0.2043,0.154,0.207,0.0016,0.3466,0.4579,True
0.09,0.0039,0.36,0.2565,0.1,0.091,0.3269,0.04,0.2104,0.147,0.0133,0.0016,0.3466,0.4785,True
0.06,0.0042,0.3,0.2354,0.1,0.0159,0.0334,0.14,0.2044,0.154,0.0133,0.0016,0.3466,0.4579,True
0.09,0.0023,0.25,0.4389,0.1,0.0749,0.1446,0.35,0.2045,0.147,0.0133,0.0016,0.3439,0.5332,True
0.12,0.0054,0.29,0.184,0.1,0.0809,0.4142,0.35,0.2245,0.147,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0016,0.4,0.6266,0.1,0.1279,0.4215,0.49,0.2273,0.154,0.0133,0.0016,0.3466,0.5017,True
0.12,0.0107,0.21,0.0935,0.1,0.0698,0.1446,0.28,0.2044,0.154,0.207,0.0016,0.3466,0.5884,True
0.06,0.0025,0.67,0.3923,0.1,0.1093,0.3582,0.48,0.2159,0.154,0.2068,0.0016,0.3466,0.4579,True
0.12,0.0015,0.29,0.6607,0.1,0.0157,0.0334,0.01,0.2043,0.147,0.0133,0.0016,0.3466,0.4579,True
0.09,0.0173,0.74,0.0577,0.1,0.0159,0.0334,0.14,0.2044,0.147,0.2068,0.0016,0.3466,0.0485,True
0.04,0.002,0.33,0.505,0.1,0.1228,0.4031,0.04,0.2219,0.147,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0011,0.47,0.9,0.1,0.0749,0.1101,0.35,0.2045,0.154,0.0133,0.0016,0.3466,0.5973,True
0.04,0.0013,0.64,0.7857,0.1,0.1251,0.4107,0.36,0.2078,0.147,0.2068,0.0016,0.3466,0.3098,True
0.06,0.0827,0.63,0.0121,0.1,0.0749,0.1446,0.35,0.2045,0.154,0.2068,0.0016,0.3466,0.4579,True
0.12,0.0367,0.32,0.0273,0.1,0.016,0.0334,0.24,0.2044,0.147,0.207,0.0016,0.3466,0.4579,True
0.12,0.0158,0.32,0.0633,0.1,0.0227,0.3265,0.24,0.2103,0.147,0.207,0.0016,0.3466,0.4579,True
0.15,0.0016,0.56,0.6118,0.1,0.0205,0.3288,0.07,0.2108,0.154,0.2068,0.0016,0.3466,0.5074,True
0.06,0.001,0.25,0.9867,0.1,0.0698,0.1002,0.28,0.2045,0.147,0.0133,0.0016,0.3466,0.6491,True
0.12,0.08,0.41,0.0125,0.1,0.0157,0.0335,0.04,0.2043,0.147,0.0133,0.0016,0.3466,0.2266,True
0.12,0.0032,0.67,0.3082,0.1,0.1018,0.3289,0.06,0.2108,0.154,0.2068,0.0016,0.3466,0.4579,True
0.09,0.0015,0.49,0.6785,0.1,0.0858,0.3419,0.24,0.1862,0.147,0.0133,0.0016,0.3466,0.4579,True
0.09,0.0012,0.48,0.807,0.1,0.0225,0.4171,0.14,0.2258,0.147,0.0133,0.0016,0.3466,0.6395,True
0.12,0.0034,0.55,0.2953,0.1,0.0937,0.3304,0.06,0.2112,0.147,0.2069,0.0016,0.3466,0.2799,True
0.12,0.0129,0.21,0.0775,0.1,0.0698,0.1446,0.28,0.2044,0.154,0.0133,0.0016,0.3466,0.4785,True
0.12,0.0019,0.29,0.5342,0.1,0.072,0.333,0.28,0.2117,0.154,0.0133,0.0016,0.3466,0.0971,True
0.12,0.0016,0.81,0.6399,0.3,0.1272,0.4215,0.37,0.2273,0.147,0.2068,0.0016,0.3466,0.1296,True
0.06,0.057,0.27,0.0175,0.1,0.0157,0.0334,0.01,0.2043,0.154,0.0133,0.0016,0.3466,0.2194,True
0.15,0.1537,0.23,0.0065,0.1,0.0242,0.047,0.04,0.1297,0.154,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0031,0.54,0.3217,0.1,0.0876,0.3663,0.24,0.2168,0.154,0.0133,0.0016,0.3466,0.6215,True
0.09,0.0027,0.39,0.3721,0.1,0.0158,0.0378,0.08,0.2044,0.154,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0013,0.32,0.76,0.3,0.1295,0.4303,0.37,0.2302,0.147,0.0133,0.0016,0.3466,0.1296,True
0.12,0.0042,0.28,0.2367,0.1,0.0158,0.0336,0.09,0.2044,0.154,0.0133,0.0015,0.3466,0.0702,True
0.06,0.0019,0.2,0.54,0.1,0.0157,0.0336,0.02,0.2043,0.154,0.0133,0.0015,0.3466,0.5702,True
0.04,0.002,0.27,0.4926,0.1,0.1245,0.409,0.08,0.2227,0.154,0.0133,0.0015,0.3466,0.2857,True
0.12,0.012,0.23,0.0831,0.1,0.0158,0.0336,0.09,0.2044,0.147,0.0133,0.0015,0.3466,0.4579,True
0.12,0.0134,0.38,0.0745,0.1,0.0158,0.0336,0.09,0.2044,0.154,0.0133,0.0015,0.3466,0.4579,True
0.12,0.0025,0.66,0.3936,0.1,0.0158,0.0336,0.09,0.2044,0.147,0.2068,0.0016,0.3466,0.0702,True
0.06,0.0056,0.49,0.18,0.1,0.0157,0.0334,0.01,0.2043,0.154,0.0133,0.0015,0.3466,0.4579,True
0.12,0.0077,0.54,0.1305,0.1,0.0157,0.0378,0.05,0.2044,0.147,0.2068,0.0015,0.3466,0.3574,True
0.12,0.0431,0.53,0.0232,0.1,0.0698,0.1002,0.28,0.2045,0.154,0.0133,0.0016,0.3466,0.4579,True
0.09,0.0082,0.24,0.1227,0.1,0.0157,0.0378,0.05,0.2044,0.147,0.0133,0.0015,0.3466,0.4579,True
0.06,0.0145,0.48,0.0691,0.1,0.0899,0.3259,0.24,0.2101,0.154,0.0133,0.0016,0.3466,0.543,True
0.09,0.0052,0.26,0.1915,0.1,0.1251,0.4107,0.36,0.2078,0.154,0.0133,0.0016,0.3466,0.1777,True
0.12,0.0061,0.22,0.1649,0.3,0.1272,0.4215,0.37,0.2273,0.154,0.0133,0.0015,0.3466,0.4592,True
0.12,0.018,0.31,0.0556,0.1,0.0749,0.1446,0.35,0.2045,0.147,0.207,0.0015,0.3466,0.5332,True
0.03,0.0021,0.24,0.4713,0.1,0.1247,0.4097,0.05,0.2228,0.154,0.0133,0.0016,0.3466,0.3574,True
0.06,0.008,0.37,0.125,0.1,0.0157,0.0377,0.01,0.2043,0.147,0.0133,0.0016,0.3466,0.4579,True
0.09,0.0063,0.73,0.16,0.1,0.0698,0.1446,0.28,0.2044,0.147,0.2068,0.0015,0.3466,0.2266,True
0.04,0.002,0.21,0.5067,0.1,0.0157,0.0377,0.01,0.2043,0.147,0.0133,0.0015,0.3466,0.4579,True
0.15,0.0049,0.61,0.204,0.1,0.1051,0.3416,0.48,0.2045,0.147,0.0133,0.0015,0.3466,0.5176,True
0.12,0.0023,0.61,0.4286,0.1,0.0157,0.0377,0.04,0.2043,0.147,0.2068,0.0015,0.3466,0.2147,True
0.12,0.0014,0.65,0.7308,0.1,0.1103,0.3631,0.49,0.2045,0.147,0.2068,0.0016,0.3466,0.5017,True
0.06,0.0017,0.24,0.5769,0.1,0.0158,0.0335,0.1,0.2044,0.147,0.0133,0.0016,0.3466,0.4651,True
0.06,0.0065,0.64,0.155,0.1,0.0157,0.0335,0.04,0.2043,0.147,0.2068,0.0015,0.3466,0.2799,True
0.06,0.0028,0.62,0.3582,0.1,0.1251,0.4107,0.36,0.2077,0.147,0.2068,0.0015,0.3466,0.3098,True
0.15,0.001,0.22,0.9655,0.3,0.1302,0.4321,0.37,0.2308,0.147,0.0133,0.0015,0.3466,0.1296,True
0.12,0.1053,0.48,0.0095,0.1,0.0749,0.1494,0.35,0.2051,0.154,0.0133,0.0015,0.3466,0.5505,True
0.12,0.1099,0.49,0.0091,0.1,0.0161,0.1494,0.25,0.2051,0.154,0.207,0.0015,0.3466,0.0043,True
0.15,0.0033,0.38,0.3033,0.1,0.1103,0.363,0.49,0.2051,0.147,0.0133,0.0015,0.3466,0.6471,True
0.12,0.014,0.34,0.0716,0.1,0.0157,0.0335,0.05,0.2044,0.147,0.0133,0.0015,0.3466,0.4637,True
0.12,0.0014,0.34,0.7338,0.1,0.0876,0.3447,0.01,0.214,0.154,0.0133,0.0016,0.3466,0.3619,True
0.12,0.0435,0.37,0.023,0.1,0.0158,0.0333,0.07,0.2044,0.147,0.207,0.0015,0.3466,0.5074,True
0.06,0.0048,0.41,0.2079,0.1,0.016,0.0379,0.24,0.2044,0.147,0.2068,0.0015,0.3466,0.4579,True
0.04,0.0023,0.31,0.4375,0.1,0.0752,0.3373,0.35,0.2125,0.147,0.0133,0.0016,0.3466,0.2877,True
0.06,0.0012,0.6,0.8378,0.1,0.1251,0.4112,0.36,0.208,0.147,0.2068,0.0015,0.3466,0.1887,True
0.06,0.0026,0.29,0.3781,0.1,0.1251,0.4112,0.36,0.208,0.154,0.0133,0.0015,0.3466,0.3098,True
0.06,0.0025,0.3,0.3955,0.1,0.0158,0.0378,0.07,0.2044,0.154,0.0133,0.0016,0.3466,0.5074,True
0.12,0.0016,0.31,0.6304,0.1,0.0001,0.0215,0.06,0.0277,0.154,0.0133,0.0015,0.3466,0.3056,True
0.06,0.031,0.62,0.0323,0.1,0.0161,0.1494,0.26,0.2051,0.147,0.2068,0.0015,0.3466,0.5306,True
0.12,0.0603,0.21,0.0166,0.1,0.0158,0.0333,0.07,0.2044,0.154,0.0133,0.0015,0.3466,0.0702,True
0.04,0.0016,0.24,0.6267,0.1,0.0158,0.1493,0.07,0.205,0.154,0.0133,0.0016,0.3466,0.0702,True
0.15,0.0592,0.61,0.0169,0.1,0.0158,0.0336,0.09,0.2044,0.147,0.2068,0.0015,0.3466,0.0702,True
0.06,0.0154,0.34,0.065,0.1,0.1051,0.3416,0.48,0.2051,0.154,0.207,0.0016,0.3466,0.5176,True
0.12,0.0022,0.24,0.4625,0.1,0.0157,0.1493,0.06,0.205,0.154,0.0133,0.0016,0.3466,0.1777,True
0.09,0.0026,0.37,0.3857,0.1,0.1051,0.3416,0.48,0.2045,0.154,0.0133,0.0015,0.3466,0.1777,True
0.09,0.0031,0.34,0.3212,0.1,0.0158,0.1493,0.07,0.205,0.154,0.0133,0.0015,0.3466,0.5074,True
0.06,0.0039,0.61,0.2565,0.1,0.0158,0.1493,0.08,0.205,0.154,0.2068,0.0015,0.3466,0.4579,True
0.09,0.0014,0.53,0.7083,0.1,0.0161,0.1494,0.25,0.2051,0.147,0.2069,0.0016,0.3466,0.5833,True
0.12,0.003,0.32,0.3379,0.1,0.0157,0.1492,0.05,0.205,0.154,0.0133,0.0015,0.3466,0.3574,True
0.06,0.0023,0.29,0.4308,0.1,0.0161,0.1494,0.25,0.2051,0.154,0.0133,0.0015,0.3466,0.4579,True
0.12,0.0051,0.45,0.1945,0.1,0.0864,0.4333,0.35,0.2312,0.154,0.0133,0.0015,0.3466,0.5332,True
0.06,0.0012,0.57,0.8333,0.1,0.0749,0.1446,0.35,0.2045,0.154,0.2068,0.0015,0.3466,0.5176,True
0.12,0.0011,0.61,0.926,0.1,0.0157,0.1492,0.04,0.205,0.147,0.2068,0.0015,0.3466,0.4579,True
0.06,0.0093,0.41,0.1073,0.1,0.0157,0.1492,0.05,0.205,0.154,0.2068,0.0015,0.3466,0.4579,True
0.09,0.0033,0.49,0.3,0.1,0.0158,0.0333,0.07,0.2044,0.154,0.0133,0.0015,0.3466,0.5074,True
0.06,0.0041,0.35,0.2422,0.1,0.0157,0.1493,0.06,0.205,0.154,0.0133,0.0015,0.3466,0.3056,True
0.12,0.02,0.22,0.05,0.1,0.0161,0.1494,0.25,0.2051,0.147,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0022,0.25,0.4455,0.1,0.1107,0.3646,0.47,0.2166,0.154,0.0133,0.0015,0.3466,0.2769,True
0.06,0.002,0.26,0.4948,0.1,0.1206,0.3963,0.47,0.221,0.154,0.0133,0.0015,0.3466,0.4316,True
0.12,0.0237,0.28,0.0421,0.1,0.0157,0.1493,0.06,0.205,0.154,0.0133,0.0015,0.3466,0.2266,True
0.09,0.0063,0.51,0.1599,0.1,0.0158,0.1493,0.1,0.205,0.154,0.0133,0.0016,0.3466,0.4637,True
0.12,0.0119,0.26,0.0841,0.1,0.016,0.1494,0.24,0.2051,0.154,0.207,0.0016,0.3466,0.4579,True
0.12,0.0111,0.43,0.0899,0.1,0.0211,0.4194,0.01,0.2265,0.147,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0016,0.35,0.6213,0.1,0.1059,0.351,0.48,0.215,0.154,0.0133,0.0015,0.3466,0.5176,True
0.06,0.0021,0.33,0.479,0.1,0.0157,0.1492,0.05,0.205,0.154,0.207,0.0015,0.3466,0.4579,True
0.06,0.002,0.56,0.5092,0.1,0.1254,0.4245,0.36,0.2283,0.147,0.2068,0.0015,0.3466,0.3321,True
0.12,0.063,0.27,0.0159,0.1,0.0749,0.1494,0.35,0.2051,0.154,0.0133,0.0015,0.3466,0.5332,True
0.12,0.0048,0.37,0.21,0.1,0.0157,0.1492,0.05,0.205,0.147,0.2069,0.0015,0.3466,0.3574,True
0.12,0.0047,0.25,0.2133,0.1,0.0937,0.3304,0.06,0.2112,0.154,0.0133,0.0016,0.3466,0.5332,True
0.09,0.0014,0.23,0.7,0.1,0.0749,0.1494,0.35,0.2051,0.147,0.0133,0.0015,0.3466,0.5973,True
0.09,0.0042,0.53,0.24,0.1,0.0158,0.1493,0.08,0.205,0.147,0.2068,0.0016,0.3466,0.4579,True
0.09,0.0014,0.48,0.706,0.1,0.0281,0.4317,0.06,0.2307,0.154,0.0133,0.0015,0.3466,0.1361,True
0.09,0.0013,0.6,0.8,0.1,0.1225,0.405,0.35,0.2222,0.154,0.2068,0.0015,0.3466,0.4579,True
0.09,0.0027,0.22,0.3667,0.1,0.0698,0.1494,0.28,0.2051,0.147,0.0133,0.0015,0.3466,0.4579,True
0.12,0.0012,0.24,0.8132,0.1,0.0157,0.1492,0.01,0.205,0.147,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0013,0.27,0.755,0.1,0.1103,0.363,0.49,0.2051,0.147,0.207,0.0015,0.3466,0.5017,True
0.12,0.0088,0.31,0.113,0.1,0.0937,0.3304,0.06,0.2112,0.154,0.0133,0.0015,0.3466,0.2897,True
0.12,0.0023,0.29,0.4365,0.1,0.0698,0.1494,0.28,0.2051,0.154,0.0133,0.0015,0.3466,0.5884,True
0.04,0.0036,0.42,0.2779,0.1,0.0157,0.1492,0.05,0.205,0.154,0.0133,0.0016,0.3466,0.3574,True
0.12,0.0132,0.25,0.076,0.1,0.0698,0.1494,0.28,0.2051,0.154,0.0133,0.0016,0.3466,0.6491,True
0.06,0.0038,0.37,0.2607,0.1,0.0733,0.4231,0.05,0.2278,0.154,0.0133,0.0016,0.3466,0.3574,True
0.09,0.0014,0.3,0.7045,0.1,0.0158,0.1493,0.1,0.205,0.154,0.0133,0.0015,0.3466,0.4579,True
0.09,0.0025,0.66,0.3987,0.1,0.0749,0.1494,0.35,0.2051,0.147,0.2068,0.0016,0.3466,0.5332,True
0.09,0.0109,0.28,0.0917,0.3,0.1272,0.4215,0.37,0.2273,0.154,0.0133,0.0015,0.3466,0.1296,True
0.12,0.2047,0.56,0.0049,0.1,0.1056,0.343,0.48,0.2137,0.147,0.0133,0.0016,0.3466,0.5176,True
0.12,0.0161,0.22,0.062,0.1,0.0157,0.1492,0.04,0.205,0.154,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0054,0.53,0.1868,0.1,0.0509,0.332,0.47,0.2115,0.147,0.2068,0.0015,0.3466,0.2769,True
0.09,0.006,0.42,0.1667,0.1,0.0161,0.1494,0.26,0.2051,0.147,0.2068,0.0015,0.3466,0.0757,True
0.12,0.0028,0.65,0.3617,0.1,0.0157,0.1492,0.02,0.205,0.154,0.2068,0.0015,0.3466,0.4579,True
0.09,0.0127,0.55,0.0789,0.1,0.0161,0.1494,0.25,0.2051,0.147,0.0133,0.0016,0.3466,0.0161,True
0.12,0.0023,0.25,0.4333,0.1,0.0157,0.0377,0.04,0.2043,0.154,0.0133,0.0015,0.3466,0.4579,True
0.12,0.0012,0.53,0.8287,0.1,0.1251,0.4112,0.36,0.208,0.147,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0058,0.25,0.1732,0.1,0.0157,0.1492,0.04,0.205,0.154,0.207,0.0016,0.3466,0.4579,True
0.12,0.0027,0.42,0.3709,0.1,0.0157,0.1492,0.05,0.205,0.147,0.2068,0.0016,0.3466,0.3574,True
0.06,0.0018,0.28,0.56,0.1,0.0749,0.1494,0.35,0.2051,0.154,0.0133,0.0015,0.3466,0.5332,True
0.12,0.0012,0.42,0.8696,0.1,0.1103,0.3631,0.49,0.2045,0.147,0.2069,0.0015,0.3466,0.5017,True
0.12,0.0015,0.43,0.6739,0.1,0.0159,0.0334,0.14,0.2316,0.154,0.0133,0.0015,0.3466,0.2671,True
0.12,0.0037,0.37,0.2711,0.1,0.122,0.4008,0.09,0.2216,0.154,0.0133,0.0015,0.3466,0.6529,True
0.12,0.0065,0.62,0.1531,0.1,0.1129,0.3733,0.09,0.2178,0.147,0.2068,0.0015,0.3466,0.4579,True
0.09,0.004,0.24,0.25,0.1,0.0157,0.0336,0.02,0.2316,0.154,0.0133,0.0016,0.3466,0.0209,True
0.12,0.0165,0.34,0.0606,0.1,0.0158,0.0334,0.08,0.2316,0.154,0.0133,0.0015,0.3466,0.4579,True
0.09,0.0023,0.29,0.441,0.1,0.1159,0.382,0.1,0.2192,0.147,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0061,0.29,0.1648,0.1,0.0158,0.0378,0.07,0.2316,0.154,0.0133,0.0016,0.3466,0.5074,True
0.09,0.275,0.22,0.0036,0.1,0.0157,0.0335,0.05,0.2316,0.154,0.0133,0.0015,0.3466,0.0161,True
0.09,0.0059,0.57,0.1683,0.1,0.1047,0.348,0.05,0.2146,0.147,0.2068,0.0016,0.3466,0.0971,True
0.12,0.001,0.59,0.9903,0.1,0.1281,0.4217,0.36,0.2274,0.147,0.2068,0.0015,0.3827,0.3098,True
0.09,0.1131,0.3,0.0088,0.1,0.1237,0.4172,0.14,0.2258,0.147,0.0133,0.0016,0.3466,0.4637,True
0.06,0.0071,0.32,0.1403,0.1,0.0161,0.0335,0.25,0.2316,0.154,0.0133,0.0016,0.3466,0.2114,True
0.06,0.0031,0.31,0.3176,0.1,0.1252,0.4173,0.36,0.2258,0.147,0.0133,0.0015,0.3466,0.4579,True
0.06,0.0039,0.46,0.2593,0.1,0.0749,0.1446,0.35,0.2317,0.154,0.0133,0.0015,0.3466,0.5332,True
0.06,0.0017,0.3,0.5769,0.1,0.0161,0.0335,0.25,0.2316,0.154,0.0133,0.0015,0.3466,0.4579,True
0.06,0.0042,0.23,0.2368,0.1,0.0158,0.0378,0.08,0.2316,0.154,0.0133,0.0015,0.3466,0.4579,True
0.09,0.0019,0.4,0.5217,0.1,0.0161,0.0335,0.25,0.2316,0.154,0.0133,0.0015,0.3439,0.0161,True
0.06,0.0037,0.56,0.2694,0.1,0.0158,0.0334,0.08,0.2316,0.147,0.2068,0.0015,0.3466,0.4579,True
0.06,0.0011,0.24,0.9249,0.1,0.0157,0.0377,0.02,0.2316,0.147,0.0133,0.0015,0.3466,0.5702,True
0.06,0.0063,0.38,0.1581,0.1,0.016,0.0379,0.24,0.2316,0.147,0.2068,0.0016,0.3466,0.5702,True
0.06,0.0012,0.37,0.8117,0.1,0.0664,0.414,0.26,0.2245,0.147,0.0133,0.0015,0.3466,0.2428,True
0.09,0.0025,0.23,0.3975,0.1,0.0159,0.0379,0.14,0.2316,0.154,0.0133,0.0016,0.3827,0.3216,True
0.12,0.0037,0.66,0.2717,0.1,0.1103,0.3631,0.49,0.2318,0.147,0.2068,0.0015,0.3466,0.5017,True
0.12,0.0013,0.46,0.7692,0.1,0.0157,0.0335,0.06,0.2316,0.147,0.0133,0.0015,0.3466,0.3941,True
0.12,0.0312,0.46,0.032,0.1,0.0161,0.0334,0.26,0.2316,0.154,0.0133,0.0015,0.3466,0.5017,True
0.12,0.0209,0.47,0.0479,0.1,0.0157,0.0335,0.04,0.2316,0.154,0.0133,0.0016,0.3466,0.3574,True
0.06,0.0259,0.51,0.0386,0.1,0.0157,0.0335,0.06,0.2316,0.154,0.0133,0.0015,0.3466,0.1777,True
0.12,0.128,0.39,0.0078,0.1,0.0157,0.0335,0.04,0.2316,0.154,0.0133,0.0016,0.3466,0.4579,True
0.09,0.0014,0.33,0.72,0.1,0.016,0.0379,0.24,0.2316,0.154,0.0133,0.0015,0.3466,0.4763,True
0.09,0.0016,0.5,0.64,0.1,0.1251,0.4107,0.36,0.2318,0.154,0.0133,0.0015,0.3466,0.1887,True
0.12,0.0021,0.45,0.4667,0.1,0.0157,0.0335,0.06,0.2316,0.154,0.0133,0.0015,0.3466,0.4579,True
